text,category
"Python programming tutorial for beginners",technology
"Delicious recipe for chocolate cake with vanilla frosting",food
"Latest news about climate change and global warming",news
"Movie review: The new action film is spectacular",entertainment
"Health tips for better sleep and relaxation",health
"JavaScript web development guide and best practices",technology
"Easy pasta cooking instructions with homemade sauce",food
"Sports news: Football match results and highlights",news
"Book review: Science fiction novel explores space travel",entertainment
"Fitness workout routine for beginners and intermediates",health
"Machine learning algorithms and neural networks",technology
"Traditional Italian pizza recipe with fresh ingredients",food
"Breaking news: Economic policy changes announced",news
"Concert review: Amazing performance by famous band",entertainment
"Mental health awareness and stress management tips",health
"Data science and statistical analysis techniques",technology
"Healthy smoothie recipes for weight loss",food
"Political news: Election results and voter turnout",news
"TV show review: Compelling drama series finale",entertainment
"Nutrition guide for athletes and sports performance",health 